board,turn,move_num,result,result_scaled,result_scaled_tempo
r4rk1/pp2ppbp/5np1/2n5/3NB3/4P1P1/PP1BNP1P/1R3RK1 b - - 0 18,False,18,2,7.59375,6.935625
r4rk1/pp2ppbp/5np1/8/3Nn3/4P1P1/PP1BNP1P/1R3RK1 w - - 0 19,True,19,0,0,0
r4rk1/pp2ppbp/5np1/8/4n3/1N2P1P1/PP1BNP1P/1R3RK1 b - - 1 19,False,19,2,7.59375,6.935625
r2r2k1/pp2ppbp/5np1/8/4n3/1N2P1P1/PP1BNP1P/1R3RK1 w - - 2 20,True,20,0,0,0
r2r2k1/pp2ppbp/5np1/8/4n3/1N2P1P1/PP1BNP1P/1R1R2K1 b - - 3 20,False,20,2,7.59375,6.935625
r2r2k1/pp2ppbp/5np1/8/8/1N2P1P1/PP1nNP1P/1R1R2K1 w - - 0 21,True,21,0,0,0
r2r2k1/pp2ppbp/5np1/8/8/4P1P1/PP1NNP1P/1R1R2K1 b - - 0 21,False,21,2,7.59375,6.935625
2rr2k1/pp2ppbp/5np1/8/8/4P1P1/PP1NNP1P/1R1R2K1 w - - 1 22,True,22,0,0,0
2rr2k1/pp2ppbp/5np1/8/3N4/4P1P1/PP1N1P1P/1R1R2K1 b - - 2 22,False,22,2,7.59375,6.935625
2rr2k1/pp1nppbp/6p1/8/3N4/4P1P1/PP1N1P1P/1R1R2K1 w - - 3 23,True,23,0,0,0
2rr2k1/pp1nppbp/6p1/8/3N4/4P1P1/PP1N1P1P/1RR3K1 b - - 4 23,False,23,2,7.59375,6.935625
2rr2k1/pp1nppb1/6p1/7p/3N4/4P1P1/PP1N1P1P/1RR3K1 w - - 0 24,True,24,0,0,0
2rr2k1/pp1nppb1/6p1/7p/3N4/4P1P1/PP1N1P1P/1RR2K2 b - - 1 24,False,24,2,7.59375,6.935625
2rr2k1/pp2ppb1/6p1/2n4p/3N4/4P1P1/PP1N1P1P/1RR2K2 w - - 2 25,True,25,0,0,0
2rr2k1/pp2ppb1/6p1/2n4p/3N4/1N2P1P1/PP3P1P/1RR2K2 b - - 3 25,False,25,2,7.59375,6.935625
2rr2k1/pp2ppb1/6p1/7p/n2N4/1N2P1P1/PP3P1P/1RR2K2 w - - 4 26,True,26,0,0,0
2rr2k1/pp2ppb1/6p1/7p/n2N3P/1N2P1P1/PP3P2/1RR2K2 b - - 0 26,False,26,2,7.59375,6.935625
2rr1k2/pp2ppb1/6p1/7p/n2N3P/1N2P1P1/PP3P2/1RR2K2 w - - 1 27,True,27,0,0,0
2rr1k2/pp2ppb1/6p1/1N5p/n6P/1N2P1P1/PP3P2/1RR2K2 b - - 2 27,False,27,2,7.59375,6.935625
2rr1k2/1p2ppb1/p5p1/1N5p/n6P/1N2P1P1/PP3P2/1RR2K2 w - - 0 28,True,28,0,0,0
2rr1k2/1p2ppb1/p5p1/7p/n2N3P/1N2P1P1/PP3P2/1RR2K2 b - - 1 28,False,28,2,7.59375,6.935625
2rr1k2/4ppb1/p5p1/1p5p/n2N3P/1N2P1P1/PP3P2/1RR2K2 w - - 0 29,True,29,0,0,0
2rr1k2/4ppb1/p5p1/1p5p/n2N3P/1N2P1P1/PP2KP2/1RR5 b - - 1 29,False,29,2,7.59375,6.935625
3r1k2/4ppb1/p5p1/1p5p/n2N3P/1N2P1P1/PP2KP2/1Rr5 w - - 0 30,True,30,0,0,0
3r1k2/4ppb1/p5p1/1p5p/n2N3P/4P1P1/PP2KP2/1RN5 b - - 0 30,False,30,2,7.59375,6.935625
2r2k2/4ppb1/p5p1/1p5p/n2N3P/4P1P1/PP2KP2/1RN5 w - - 1 31,True,31,0,0,0
